"","date","SO2_1","CO_6","NO_7","NO2_8","PM2.5_9","PM10_10","O3_14","TOL_20","BEN_30","EBE_35","TCH_42","NMHC_44","temp_avg","temp_max","temp_min","precipitation","humidity","wind_avg_speed"
"373",2011-03-06,9.25833333333333,0.420833333333333,19.9322916666667,48.3003472222222,8.6875,13.28125,40.6964285714286,1.87430555555556,0.907638888888889,0.770503597122302,1.432,0.20125,6.5,14.3,-0.6,0,70,5.6
"445",2011-03-07,9.4875,0.37625,17.8576388888889,43.671875,12.1527777777778,31.5798611111111,47.1492537313433,2.24375,0.824305555555556,0.726388888888889,1.40025,0.196416666666667,10.3,17.5,3.8,0,55,9.3
"517",2011-03-08,8.92916666666667,0.335217391304348,11.7361111111111,40.2274305555556,13.8194444444444,34.15625,61.3818181818182,1.92986111111111,0.793055555555556,0.706944444444444,1.38191666666667,0.193416666666667,9.6,14.4,3.9,0,61,9.3
"589",2011-03-09,8.18723404255319,0.311061946902655,11.4513888888889,36.7083333333333,13.8472222222222,30.3344947735192,50.1223880597015,2.16569343065693,0.742335766423358,0.741605839416058,1.36833333333333,0.180666666666667,10.6,15.1,6,0,66,8.1
"661",2011-03-10,9.1,0.366108786610879,22.8838028169014,46,18.3680555555556,46.6527777777778,34.0208333333333,2.88723404255319,0.845833333333333,0.843055555555556,1.43862068965517,0.206637931034483,9.7,18.2,1.1,0,57,6.1
"733",2011-03-11,9.77916666666667,0.3975,26.1343804537522,56.2809773123909,15.5138888888889,34.5034722222222,25.5892857142857,3.91942446043165,0.890972222222222,0.913888888888889,1.47504273504274,0.221794871794872,6.8,12,2.3,0,82,7.2
"805",2011-03-12,7.2875,0.306666666666667,9.54166666666667,33.8524305555556,7.46527777777778,10.8159722222222,43.7410714285714,1.90138888888889,0.631944444444444,0.734722222222222,1.3612380952381,0.176380952380952,9.4,14,5.7,14.22,82,7.6
"877",2011-03-13,6.8,0.279583333333333,6.671875,26.40625,8,12.0451388888889,48.8511904761905,1.34,0.4968,0.7208,1.36625,0.17675,9.9,13.8,5.8,0,80,10.2
"949",2011-03-14,7.50833333333333,0.31125,11.0972222222222,38.265625,7.75694444444444,13.9583333333333,45.2589285714286,2.07364341085271,0.631007751937985,1.06899224806202,1.38483333333333,0.182583333333333,10.9,15,5.5,2.29,83,15.4
"1021",2011-03-15,6.775,0.278333333333333,10.7447916666667,31.0086805555556,6.14583333333333,9.71180555555556,48.8985074626866,1.97481481481481,0.684444444444444,0.937037037037037,1.36191666666667,0.17825,10.4,13,8,3.81,74,17.2
"1093",2011-03-16,6.8625,0.304583333333333,13.9982517482517,37.8251748251748,8.47916666666667,14.6597222222222,49.5898203592814,2.41323529411765,0.816176470588235,0.766176470588235,1.35308333333333,0.18925,9.8,12,7.6,0,61,18.5
"1165",2011-03-17,8.2,0.374583333333333,21.3631484794276,46.3059033989267,10.2692307692308,15.3795620437956,45.2222222222222,3.43404255319149,0.927777777777778,0.8875,1.39358333333333,0.195083333333333,11.4,17,6,0.25,63,14.6
"1237",2011-03-18,9.08333333333333,0.4175,29.1837455830389,60.0265017667844,10.8055555555556,19.1180555555556,35.2507462686567,3.92097902097902,0.909027777777778,1.03888888888889,1.43605042016807,0.213529411764706,11.3,21.1,2,0,59,5.4
"1309",2011-03-19,9.28205128205128,0.354583333333333,17.7341549295775,45.5264084507042,8.78358208955224,13.5744680851064,44.5195195195195,2.75434782608696,0.684057971014493,0.796376811594203,1.41666666666667,0.206333333333333,12.4,21.8,3,0,51,5.4
"1381",2011-03-20,10.3611111111111,0.387111111111111,22.9873188405797,47.2554347826087,7.85833333333333,12.9772727272727,43.1785714285714,2.385,0.731666666666667,0.761666666666667,1.40008333333333,0.212166666666667,12.3,21.4,2,0,41,5
"1453",2011-03-21,9.44247787610619,0.281739130434783,10.1920289855072,33.8115942028985,10.0542635658915,18.0036496350365,62.2113095238095,2.03798449612403,0.596923076923077,0.633846153846154,1.37808333333333,0.1875,10.8,16.8,3.2,0,58,8.1
"1525",2011-03-22,8.74166666666667,0.288333333333333,6.33916083916084,26.8723776223776,8.29166666666667,15.2152777777778,74.4196428571429,1.79097222222222,0.611805555555556,0.590277777777778,1.35758333333333,0.18225,10.2,14.3,6,0,54,11.3
"1597",2011-03-23,8.74583333333333,0.354583333333333,10.5237258347979,38.5149384885764,8.81944444444444,13.0381944444444,56.5317220543807,2.29097222222222,0.85531914893617,0.755639097744361,1.33546218487395,0.173025210084034,9.2,13,4.8,0.76,67,12.6
"1669",2011-03-24,9.7375,0.385,12.4003496503496,45.8793706293706,9.375,14.6527777777778,52.2245508982036,2.66111111111111,0.90625,1.01875,1.37158333333333,0.181416666666667,9.7,12,7.5,1.52,83,8
"1741",2011-03-25,8.8,0.404621848739496,15.1602787456446,50.7073170731707,14.9444444444444,29.8923611111111,49.3928571428571,2.80979020979021,0.890909090909091,1.11118881118881,1.38783333333333,0.181833333333333,11.6,15,8.7,0.25,79,6.7
"1813",2011-03-26,7.4,0.334199134199134,11.8362369337979,37.4303135888502,18.0763888888889,37.5243055555556,43.0059523809524,2.28888888888889,0.670833333333333,0.972916666666667,1.40683333333333,0.18,13.2,18.2,8,1.02,73,11.1
"1885",2011-03-27,6.22083333333333,0.249166666666667,5.82291666666667,21.0590277777778,5.54861111111111,8.55902777777778,68.2767857142857,1.01180555555556,0.372222222222222,0.5375,1.32516666666667,0.16325,10.4,14.4,6.8,3.3,81,18.9
"1957",2011-03-28,6.6375,0.290416666666667,11.9146341463415,34.1236933797909,8.03053435114504,14.0208333333333,68.9790419161677,2.14959349593496,0.657723577235772,0.778861788617886,1.34372881355932,0.176864406779661,11,14.9,6,1.52,68,13.9
"2025",2011-03-29,6.91666666666667,0.29875,16.1926444833625,34.8161120840631,7.46666666666667,12.6701388888889,63.2198795180723,2.44198473282443,0.719083969465649,0.877862595419847,1.3615,0.1835,12.8,17.6,7,0.25,62,10.4
"2091",2011-03-30,6.86666666666667,0.292827004219409,12.3800350262697,33.6584938704028,8.99305555555556,13.3506944444444,65.3164179104478,2.36458333333333,0.709027777777778,0.886111111111111,1.33291666666667,0.170166666666667,14.8,19.6,9.8,0,61,12
"2157",2011-03-31,8.69327731092437,0.450218340611354,41.2122807017544,64.9350877192983,14.0283687943262,25.7929824561404,35.1114457831325,4.66971830985915,0.952112676056338,1.19577464788732,1.46771186440678,0.217118644067797,13.9,22,5.3,0,64,5
"19",2011-04-01,8.28333333333333,0.47875,42.1062717770035,63.911149825784,14.7291666666667,27.0555555555556,42.5970149253731,5.28450704225352,1.14545454545455,1.41818181818182,1.45758333333333,0.215666666666667,16.1,25.7,6.6,0,58,6.7
"91",2011-04-02,7.62916666666667,0.3775,19.25,53.3697916666667,17.7430555555556,51.3090277777778,39.9553571428571,3.5993006993007,0.711805555555556,0.929166666666667,1.45798319327731,0.211260504201681,14.9,21,8.4,0,64,6.3
"163",2011-04-03,7.8625,0.375416666666667,24.7204861111111,49.1475694444444,25.3194444444444,67.1944444444444,32.3571428571429,3.93125,0.933333333333333,1.36805555555556,1.51158333333333,0.2055,13.4,19,10,0,81,9.3
"235",2011-04-04,7.41666666666667,0.339583333333333,18.7760416666667,41.7378472222222,14.6041666666667,23.6388888888889,47.2380952380952,3.06433566433566,0.68041958041958,1.00769230769231,1.37191666666667,0.176416666666667,15.9,22.1,10.5,6.86,74,5.6
"307",2011-04-05,7.05084745762712,0.338983050847458,22.1713286713287,48.3461538461538,16.3759398496241,33.9061371841155,38.6787878787879,4.7006993006993,0.823611111111111,1.09305555555556,1.42075,0.19775,17,25.7,9,0,61,4.4
"379",2011-04-06,6.72995780590717,0.311666666666667,15.8150087260035,47.3123909249564,17.0583333333333,39.3560606060606,41.1141141141141,3.82097902097902,0.703472222222222,0.977777777777778,1.41116666666667,0.197916666666667,17.4,25.5,9.4,0,56,8.5
"451",2011-04-07,7.34334763948498,0.419166666666667,36.6291739894552,65.5149384885764,20.1679389312977,43.4945454545455,34.7987804878049,5.90434782608696,0.969444444444444,1.36376811594203,1.44725,0.217666666666667,18.4,27.9,9.3,0,50,4.6
"523",2011-04-08,8.09583333333333,0.5075,48.5522648083624,84.7752613240418,22.8541666666667,51.4027777777778,33.8922155688623,7.07841726618705,1.39305555555556,1.73214285714286,1.50216666666667,0.243583333333333,19,29,9,0,47,6.1
"595",2011-04-09,7.66666666666667,0.400833333333333,34.7221238938053,58.9504424778761,28.0208333333333,64.3859649122807,42.7897897897898,5.26928571428571,0.919285714285714,1.35642857142857,1.45791666666667,0.22075,18.9,29,9,0,48,8.9
"667",2011-04-10,6.47083333333333,0.285416666666667,10.8211805555556,39.4930555555556,18.6875,40.1423611111111,55.1107784431138,2.79791666666667,0.647222222222222,0.831944444444444,1.44891666666667,0.194916666666667,17.5,24.7,9.5,0,57,9.1
"739",2011-04-11,6.025,0.246666666666667,7.73611111111111,27.1302083333333,7.8125,15.9651567944251,67.6556886227545,2.07638888888889,0.415277777777778,0.672916666666667,1.32941666666667,0.168666666666667,16.1,23.4,9.1,0,53,14.4
"811",2011-04-12,6.09704641350211,0.278333333333333,11.2774869109948,38.5689354275742,14.9236111111111,34.9097222222222,66.6576576576577,2.48611111111111,0.561111111111111,0.83125,1.34933333333333,0.1825,16.4,24.5,9,0,46,8.7
"883",2011-04-13,6.5929203539823,0.352083333333333,20.6725978647687,54.7651245551601,11.9583333333333,26.9895470383275,48.7546583850932,3.67913669064748,0.681294964028777,1.06258992805755,1.401,0.205416666666667,17.5,26,7,0,43,7.2
"955",2011-04-14,7.2875,0.377083333333333,30.4340277777778,64.1961805555556,14.4722222222222,30.9826388888889,44.8065476190476,4.97985611510791,0.910714285714286,1.61142857142857,1.42025,0.220333333333333,17.5,27,6.9,0,43,8.7
"1027",2011-04-15,6.40833333333333,0.274058577405858,7.27652173913043,35.2539130434783,9.54861111111111,19.1707317073171,74.8802395209581,2.35664335664336,0.472027972027972,0.827272727272727,1.35953703703704,0.192685185185185,15.6,22.1,8.5,0,36,10.9
"1099",2011-04-16,6.05416666666667,0.244583333333333,4.625,22.5486111111111,13.4027777777778,24.7013888888889,79.7083333333333,1.32361111111111,0.394444444444444,0.635416666666667,1.36981481481481,0.173981481481481,14.8,21.2,9.6,0,56,9.8
"1171",2011-04-17,5.8875,0.244166666666667,4.30555555555556,21.8125,10.0833333333333,17.0277777777778,84.9166666666667,1.54166666666667,0.417361111111111,0.625,1.39258333333333,0.188583333333333,15.2,22.5,6.4,0,49,7
